"filename", "language", "TypeScript", "Ignore", "Docker", "YAML", "JavaScript", "JSON", "Markdown", "Shell Script", "TypeScript JSX", "JSON with Comments", "PostCSS", "MS SQL", "comment", "blank", "total"
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/settings/settings.module.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/settings/settings.service.test.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 91
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/settings/settings.service.ts", "TypeScript", 141, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 156
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/telemetry/otel.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 92
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/users/users.controller.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 73
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/users/users.module.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/users/users.service.test.ts", "TypeScript", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 123
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/users/users.service.ts", "TypeScript", 226, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 256
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/src/worker.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/tsconfig.build.json", "JSON", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 1, 12
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/api/vitest.config.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/web/app/admin/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 836, 0, 0, 0, 0, 70, 906
"/home/jaugustyniak/Documents/repos/github/s3gator/apps/web/app/files/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 724, 0, 0, 0, 2, 62, 788
